"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,945,358","100"
"2","apple.com","4,583,960","100"
"3","www.google.com","12,258,700","100"
"4","microsoft.com","4,621,064","99"
"5","www.blogger.com","25,481,229","99"
"6","support.google.com","4,661,002","99"
"7","play.google.com","2,389,143","99"
"8","cloudflare.com","5,238,784","99"
"9","wordpress.org","10,034,145","98"
"10","en.wikipedia.org","5,463,150","98"
"11","youtu.be","3,918,550","98"
"12","linkedin.com","9,019,012","98"
"13","maps.google.com","4,387,644","98"
"14","docs.google.com","2,280,699","98"
"15","adobe.com","2,838,728","98"
"16","drive.google.com","1,801,661","97"
"17","mozilla.org","1,944,937","97"
"18","sites.google.com","1,709,390","97"
"19","googleusercontent.com","2,164,420","97"
"20","plus.google.com","11,770,499","97"
"21","vimeo.com","3,105,983","97"
"22","europa.eu","1,681,388","97"
"23","accounts.google.com","2,532,967","97"
"24","uol.com.br","562,270","96"
"25","amazon.com","4,017,025","96"
"26","vk.com","1,599,418","96"
"27","line.me","617,914","96"
"28","bbc.co.uk","1,414,183","96"
"29","facebook.com","45,919,823","96"
"30","bp.blogspot.com","16,031,399","96"
"31","github.com","2,032,123","96"
"32","es.wikipedia.org","777,292","96"
"33","istockphoto.com","3,107,834","96"
"34","medium.com","1,140,197","96"
"35","w3.org","1,056,423","95"
"36","cnn.com","1,222,880","95"
"37","mail.google.com","439,208","95"
"38","policies.google.com","1,129,210","95"
"39","t.me","550,986","95"
"40","developers.google.com","903,229","95"
"41","who.int","2,063,803","95"
"42","paypal.com","907,999","95"
"43","jimdofree.com","1,666,774","95"
"44","news.yahoo.com","584,212","95"
"45","theguardian.com","1,200,449","95"
"46","globo.com","382,557","95"
"47","imdb.com","1,226,649","95"
"48","google.co.jp","627,192","95"
"49","buydomains.com","1,133,875","95"
"50","google.fr","380,235","95"
"51","live.com","735,717","95"
"52","google.de","1,082,617","95"
"53","msn.com","985,693","95"
"54","get.google.com","716,381","95"
"55","reuters.com","728,075","95"
"56","myspace.com","1,248,124","95"
"57","wikimedia.org","1,371,395","95"
"58","creativecommons.org","1,560,229","95"
"59","google.com.br","262,628","95"
"60","mail.ru","475,584","95"
"61","feedburner.com","1,707,613","95"
"62","dropbox.com","934,064","95"
"63","google.co.uk","538,925","95"
"64","pt.wikipedia.org","357,639","95"
"65","fr.wikipedia.org","537,957","95"
"66","news.google.com","689,786","95"
"67","nytimes.com","1,687,310","95"
"68","dailymotion.com","1,064,921","95"
"69","google.es","413,229","95"
"70","forbes.com","1,149,686","95"
"71","gstatic.com","584,386","95"
"72","slideshare.net","877,088","95"
"73","whatsapp.com","1,909,361","95"
"74","nih.gov","1,056,282","95"
"75","www.yahoo.com","931,585","95"
"76","hugedomains.com","4,978,501","95"
"77","bbc.com","669,367","95"
"78","wired.com","534,521","94"
"79","id.wikipedia.org","410,856","94"
"80","telegram.me","273,915","94"
"81","dan.com","1,606,383","94"
"82","code.google.com","319,203","94"
"83","scribd.com","651,822","94"
"84","usatoday.com","637,853","94"
"85","themeforest.net","508,537","94"
"86","lefigaro.fr","187,709","94"
"87","amazon.co.jp","774,683","94"
"88","ig.com.br","131,746","94"
"89","issuu.com","845,590","94"
"90","webmd.com","549,504","94"
"91","samsung.com","303,786","94"
"92","businessinsider.com","577,897","94"
"93","android.com","263,516","94"
"94","amazon.co.uk","628,644","94"
"95","foxnews.com","453,426","94"
"96","huffingtonpost.com","873,929","94"
"97","google.ru","172,983","94"
"98","tinyurl.com","1,239,888","94"
"99","namecheap.com","925,269","94"
"100","aliexpress.com","439,527","94"
"101","photos.google.com","230,213","94"
"102","plesk.com","704,282","94"
"103","amazon.de","491,366","94"
"104","ok.ru","329,788","94"
"105","bloomberg.com","681,661","94"
"106","independent.co.uk","518,857","94"
"107","fb.com","360,638","94"
"108","translate.google.com","273,625","94"
"109","marketingplatform.google.com","762,895","94"
"110","aol.com","656,442","94"
"111","goo.gl","4,187,832","94"
"112","sedo.com","2,535,928","94"
"113","gravatar.com","1,735,124","94"
"114","thesun.co.uk","254,892","94"
"115","myaccount.google.com","268,726","94"
"116","ipv4.google.com","351,649","94"
"117","ebay.com","868,906","94"
"118","office.com","352,556","94"
"119","elpais.com","324,471","94"
"120","youronlinechoices.com","509,982","94"
"121","harvard.edu","588,201","94"
"122","wsj.com","801,307","94"
"123","opera.com","753,260","94"
"124","mediafire.com","763,969","94"
"125","files.wordpress.com","1,988,384","94"
"126","booking.com","352,618","94"
"127","washingtonpost.com","871,067","94"
"128","www.gov.uk","487,489","94"
"129","terra.com.br","186,056","94"
"130","archive.org","882,937","94"
"131","bing.com","895,156","94"
"132","cpanel.com","1,241,871","94"
"133","ft.com","352,224","94"
"134","hatena.ne.jp","1,454,652","94"
"135","dailymail.co.uk","777,146","94"
"136","pinterest.com","7,337,276","94"
"137","telegraph.co.uk","772,447","94"
"138","google.it","407,116","94"
"139","fandom.com","429,195","94"
"140","tools.google.com","1,490,952","94"
"141","wikia.com","458,064","94"
"142","it.wikipedia.org","283,233","94"
"143","cpanel.net","1,327,563","94"
"144","un.org","423,398","94"
"145","rakuten.co.jp","585,520","94"
"146","draft.blogger.com","9,724,179","94"
"147","bit.ly","4,085,940","94"
"148","cnet.com","547,761","94"
"149","abril.com.br","224,642","94"
"150","networkadvertising.org","697,257","94"
"151","steampowered.com","217,522","94"
"152","abcnews.go.com","472,731","94"
"153","search.google.com","1,033,134","94"
"154","nasa.gov","550,035","94"
"155","www.wix.com","904,152","94"
"156","books.google.com","345,169","94"
"157","aboutads.info","487,337","94"
"158","time.com","613,775","94"
"159","twitter.com","48,569,060","94"
"160","cdc.gov","661,551","94"
"161","picasaweb.google.com","610,084","94"
"162","change.org","402,482","94"
"163","de.wikipedia.org","590,716","94"
"164","guardian.co.uk","519,407","93"
"165","alibaba.com","365,018","93"
"166","google.co.id","135,989","93"
"167","www.livejournal.com","3,055,640","93"
"168","naver.com","424,122","93"
"169","doubleclick.net","645,745","93"
"170","scoop.it","337,974","93"
"171","espn.com","304,439","93"
"172","nginx.org","560,079","93"
"173","ria.ru","153,973","93"
"174","google.ca","292,712","93"
"175","yadi.sk","170,958","93"
"176","asus.com","138,871","93"
"177","www.over-blog.com","770,617","93"
"178","ru.wikipedia.org","352,131","93"
"179","mysql.com","398,420","93"
"180","addthis.com","695,846","93"
"181","orange.fr","167,066","93"
"182","ovh.co.uk","558,392","93"
"183","elmundo.es","191,839","93"
"184","finance.yahoo.com","371,286","93"
"185","hm.com","154,083","93"
"186","gnu.org","563,451","93"
"187","t.co","1,700,759","93"
"188","mit.edu","568,833","93"
"189","vice.com","305,869","93"
"190","rapidshare.com","280,158","93"
"191","enable-javascript.com","1,248,972","93"
"192","sciencedirect.com","422,992","93"
"193","sapo.pt","205,121","93"
"194","lemonde.fr","224,088","93"
"195","engadget.com","398,039","93"
"196","windowsphone.com","121,125","93"
"197","cbsnews.com","427,524","93"
"198","google.co.in","239,354","93"
"199","bp2.blogger.com","521,575","93"
"200","noaa.gov","283,709","93"
"201","imageshack.us","781,717","93"
"202","mozilla.com","197,725","93"
"203","nypost.com","289,783","93"
"204","weibo.com","1,486,650","93"
"205","mashable.com","344,172","93"
"206","ibm.com","438,039","93"
"207","gizmodo.com","339,603","93"
"208","quora.com","306,648","93"
"209","spiegel.de","264,141","93"
"210","addtoany.com","713,959","93"
"211","pexels.com","144,864","93"
"212","dw.com","221,008","93"
"213","smh.com.au","262,137","93"
"214","yandex.ru","914,454","93"
"215","pixabay.com","299,289","93"
"216","newsweek.com","245,201","93"
"217","ovh.net","704,572","93"
"218","ggpht.com","572,723","93"
"219","economist.com","304,151","93"
"220","privacyshield.gov","417,151","93"
"221","nationalgeographic.com","531,814","93"
"222","washington.edu","308,058","93"
"223","umich.edu","292,673","93"
"224","netvibes.com","1,153,496","93"
"225","adssettings.google.com","297,629","93"
"226","bloglovin.com","444,940","93"
"227","latimes.com","576,632","93"
"228","urbandictionary.com","205,884","93"
"229","my.yahoo.com","1,137,029","93"
"230","target.com","226,690","93"
"231","google.nl","216,686","93"
